HomeTeam,AwayTeam,B365H,B365D,B365A,BbAv<2.5,BbAv>2.5,BbAvAHH,BbAvAHA,Div,FTR
2,22,1.2,7.5,12.0,3.55,1.4,1.87,1.99,0,H
14,1,2.37,3.25,3.0,1.76,2.05,1.76,2.11,0,A
16,11,2.3,3.3,3.25,1.69,2.15,1.99,1.88,0,A
21,32,2.04,3.4,3.75,1.76,2.05,1.74,2.14,0,H
28,27,2.8,3.5,2.45,2.32,1.6,2.07,1.78,0,H
41,19,1.85,3.6,4.0,2.12,1.71,2.65,1.49,0,D
42,37,3.1,3.3,2.37,1.68,2.17,1.86,2.0,0,H
8,34,1.72,3.8,4.75,2.46,1.53,2.3,1.64,0,H
30,39,2.7,3.25,2.7,1.71,2.12,1.95,1.9,0,H
19,8,5.5,4.33,1.57,2.4,1.56,1.84,2.01,0,D
1,28,2.62,3.4,2.7,1.92,1.88,1.9,1.96,0,D
11,41,2.4,3.5,2.9,1.94,1.86,2.08,1.81,0,A
22,16,1.55,4.0,6.5,2.22,1.66,1.98,1.87,0,H
27,42,1.61,4.33,5.0,2.35,1.58,2.08,1.77,0,A
32,30,2.37,3.3,3.1,1.67,2.19,2.0,1.87,0,D
39,2,11.0,5.5,1.28,2.55,1.5,2.04,1.83,0,A
34,14,1.4,4.75,8.0,2.31,1.6,1.62,2.33,0,D
37,21,1.75,3.6,5.0,1.63,2.26,2.04,1.83,0,A
8,11,1.4,5.0,7.5,2.28,1.62,1.66,2.27,0,H
2,27,1.2,7.0,13.0,3.08,1.36,2.05,1.81,0,H
14,22,4.0,3.6,1.9,2.24,1.64,1.74,2.15,0,H
30,1,2.54,3.25,2.87,1.65,2.23,2.25,1.67,0,H
28,37,2.37,3.4,3.0,1.9,1.9,2.09,1.79,0,H
34,19,1.53,4.33,5.5,2.45,1.53,1.9,1.95,0,H
42,21,2.1,3.25,3.75,1.6,2.32,1.78,2.09,0,D
16,39,2.62,3.25,2.75,1.63,2.26,1.9,1.95,0,D
41,32,1.66,4.0,5.0,2.14,1.71,2.13,1.74,0,D
39,14,1.72,3.6,5.25,2.08,1.74,2.37,1.61,0,D
1,41,2.5,3.25,2.9,1.95,1.85,2.12,1.76,0,A
21,28,2.37,3.3,3.1,1.94,1.86,2.13,1.75,0,H
22,8,2.62,3.75,2.4,2.57,1.49,1.73,2.16,0,D
32,19,2.5,3.25,2.9,1.88,1.92,2.11,1.77,0,H
37,2,8.0,4.5,1.4,2.19,1.67,1.76,2.12,0,A
42,16,1.72,3.6,5.25,1.86,1.94,2.32,1.64,0,A
11,34,2.9,3.4,2.35,2.08,1.74,1.88,1.98,0,D
27,30,1.57,4.33,5.5,2.29,1.61,2.01,1.85,0,H
2,1,1.1,10.0,23.0,3.31,1.32,2.03,1.84,0,D
16,37,3.5,3.2,2.14,1.65,2.22,1.93,1.93,0,H
19,22,3.5,3.6,2.04,2.59,1.48,2.11,1.77,0,A
41,21,2.0,3.5,3.8,2.02,1.79,1.81,2.08,0,H
8,32,1.3,5.5,10.0,2.48,1.53,1.87,1.99,0,H
14,27,3.75,3.75,1.95,2.3,1.6,1.5,2.62,0,A
30,42,2.6,3.25,2.8,1.76,2.05,2.2,1.71,0,D
28,11,1.75,3.8,4.75,2.15,1.69,2.34,1.62,0,H
34,39,1.72,3.8,4.75,2.41,1.55,2.22,1.68,0,H
21,2,10.0,5.75,1.28,2.46,1.53,2.03,1.85,0,H
22,34,2.04,3.75,3.4,2.7,1.44,1.8,2.07,0,A
27,8,2.8,3.5,2.4,2.31,1.61,2.06,1.81,0,A
32,14,2.14,3.4,3.4,1.95,1.85,1.82,2.06,0,H
37,30,1.64,3.75,5.5,1.83,1.97,2.18,1.71,0,H
39,41,2.7,3.25,2.7,1.9,1.89,1.96,1.91,0,H
42,28,2.3,3.4,3.1,2.05,1.76,2.03,1.84,0,D
1,16,1.9,3.4,4.33,1.7,2.13,2.8,1.44,0,H
11,19,1.9,3.6,4.0,2.02,1.79,1.71,2.19,0,H
41,42,1.95,3.5,4.0,2.04,1.77,1.98,1.89,0,H
2,28,1.2,7.0,13.0,3.49,1.29,1.87,1.98,0,A
8,1,1.44,4.75,7.0,2.41,1.55,1.72,2.16,0,H
14,37,3.6,3.4,2.1,1.84,1.96,2.05,1.82,0,A
19,39,2.5,3.3,2.87,1.86,1.93,2.07,1.81,0,H
30,21,2.7,3.2,2.7,1.78,2.03,1.96,1.89,0,D
16,27,3.4,3.4,2.14,2.08,1.74,1.97,1.89,0,D
22,11,1.72,3.8,4.75,2.56,1.48,2.25,1.67,0,A
34,32,1.44,4.75,7.0,2.51,1.51,1.67,2.24,0,H
11,14,1.61,3.8,5.75,2.08,1.75,2.13,1.75,0,H
1,34,3.0,3.5,2.3,2.33,1.6,1.87,1.99,0,D
27,19,1.5,4.33,6.5,2.44,1.54,1.89,1.96,0,D
32,22,3.75,3.8,1.9,2.46,1.53,1.78,2.11,0,A
37,41,2.04,3.4,3.75,1.85,1.95,1.78,2.1,0,A
39,8,4.2,3.75,1.83,2.28,1.62,1.57,2.46,0,A
42,2,8.5,5.0,1.36,2.47,1.52,1.86,2.01,0,A
21,16,1.85,3.6,4.33,1.74,2.08,2.64,1.5,0,D
28,30,1.61,4.33,5.0,2.36,1.58,2.04,1.82,0,H
16,28,3.5,3.6,2.0,2.12,1.71,2.1,1.8,0,H
8,21,1.4,4.75,8.0,2.52,1.51,1.65,2.28,0,D
14,42,3.0,3.4,2.37,1.91,1.88,2.24,1.68,0,A
19,1,2.6,3.3,2.75,2.04,1.77,2.2,1.71,0,A
22,39,1.57,4.33,5.5,2.57,1.49,1.94,1.91,0,H
30,2,11.0,6.5,1.25,2.57,1.5,1.72,2.17,0,A
32,11,3.3,3.5,2.14,1.95,1.84,2.01,1.86,0,D
34,37,1.75,3.6,4.75,2.01,1.79,2.53,1.54,0,D
41,27,2.3,3.4,3.1,2.21,1.66,1.68,2.23,0,A
39,11,3.0,3.5,2.3,1.99,1.81,1.83,2.05,0,A
1,32,1.6,3.8,6.0,2.13,1.71,2.0,1.86,0,D
2,16,1.11,10.0,21.0,3.58,1.28,1.85,2.02,0,D
21,34,3.2,3.4,2.25,2.04,1.77,1.93,1.94,0,A
27,22,2.1,4.0,3.1,2.76,1.43,1.92,1.95,0,A
37,19,1.61,3.8,6.0,1.97,1.83,2.14,1.75,0,H
42,8,3.8,3.8,1.9,2.26,1.63,2.24,1.7,0,A
30,41,3.0,3.4,2.37,1.95,1.85,2.15,1.74,0,H
28,14,1.36,4.75,8.0,2.6,1.48,2.03,1.85,0,H
19,42,2.9,3.3,2.37,1.88,1.91,1.8,2.09,0,H
8,2,3.1,3.8,2.1,2.31,1.6,2.03,1.84,0,H
14,21,3.6,3.4,2.1,1.94,1.85,2.01,1.87,0,H
16,30,2.0,3.4,3.75,1.8,2.01,1.79,2.08,0,A
22,1,1.61,4.33,5.0,2.87,1.4,2.02,1.83,0,H
32,39,2.4,3.25,3.1,1.84,1.95,2.1,1.79,0,A
41,28,2.4,3.5,2.75,2.4,1.57,2.06,1.82,0,A
11,37,2.2,3.3,3.4,1.81,1.99,1.94,1.93,0,H
34,27,1.8,4.0,4.0,2.55,1.5,2.07,1.8,0,H
27,39,1.5,4.5,6.0,2.48,1.52,1.82,2.04,0,H
1,11,2.62,3.5,2.62,2.28,1.62,1.7,2.22,0,A
2,14,1.08,11.0,26.0,4.31,1.21,1.81,2.06,0,D
21,22,3.4,3.75,2.04,2.56,1.5,2.05,1.81,0,D
30,8,5.5,4.0,1.6,2.28,1.62,1.83,2.02,0,A
37,32,1.53,4.0,7.0,1.84,1.96,1.87,1.97,0,H
42,34,3.5,3.5,2.1,2.04,1.77,2.06,1.8,0,H
16,41,2.87,3.3,2.5,1.98,1.82,1.71,2.19,0,D
28,19,1.44,4.5,7.0,2.62,1.47,1.71,2.18,0,H
14,30,2.7,3.3,2.6,2.0,1.81,2.32,1.65,0,A
8,16,1.28,5.5,11.0,2.55,1.5,1.82,2.05,0,H
19,21,2.7,3.4,2.6,2.14,1.7,1.68,2.25,0,A
22,37,1.8,3.8,4.33,2.49,1.52,2.42,1.59,0,D
39,1,2.6,3.3,2.75,2.01,1.8,2.24,1.69,0,H
41,2,7.0,5.25,1.4,2.77,1.42,1.8,2.07,0,A
11,42,1.8,4.0,4.1,1.96,1.84,2.51,1.55,0,A
34,28,1.9,3.75,3.75,2.52,1.51,2.55,1.53,0,H
32,27,4.2,4.0,1.8,2.31,1.6,1.61,2.38,0,D
41,14,1.72,4.0,4.5,2.52,1.51,2.24,1.68,0,H
