content|type
听人语，要听完.|1
回人话，要回全|2
求必请，受必谢|1
用必问，借必还|2
手不动，眼不转|1
立必正，坐必安|1
归家来，鞋须换|1
手洗净，要擦干|1
欲见客，洗手脸|1
临出门，正衣冠|1
声要轻，走要缓|1
喝不洒，吃不谈|1
晚总结，早习练|1
学要勤，心要专|1
